benchmark,n,signal,auroc,auroc_low,auroc_high
FactStream_f07_fresh,600,G0_cling,0.4659868321034721,0.4266117809404638,0.5049174959946674
FactStream_f07_fresh,600,G1_contradicted,0.6358947971605993,0.6019693372782449,0.6685505319148937
FactStream_f07_fresh,600,M7_velocity_selector,0.5248506040158576,0.48301071205017065,0.565136660724896
FactStream_f07_fresh,600,M5_soft_blend,0.6485013623978202,0.6243093922651933,0.6722689075630253
FactStream_f07_fresh,600,M4_cross_item,0.4749096607454012,0.4273847415123457,0.5224369472649852
FactStream_f07_fresh,600,M6_agreement_drop,0.6377132766544655,0.5987861101017442,0.6768024165665829
FactStream_f07_fresh,600,M8_bimodal_split,0.5324578124451825,0.5122213809095642,0.5527777777777778
FactStream_f07_fresh,600,M9_selector,0.4914630866204348,0.4518886403412186,0.5300066255187084
FactStream_f03_fresh,600,G0_cling,0.3666427835744033,0.32844269219938044,0.40364571733998483
FactStream_f03_fresh,600,G1_contradicted,0.6653195109936859,0.6368448465222659,0.6955560997873785
FactStream_f03_fresh,600,M7_velocity_selector,0.5420379741166987,0.5055416237517353,0.5789821324616005
FactStream_f03_fresh,600,M5_soft_blend,0.6405109489051095,0.6143911439114391,0.6679389312977099
FactStream_f03_fresh,600,M4_cross_item,0.49608727777528994,0.4507095139885222,0.5418429739878163
FactStream_f03_fresh,600,M6_agreement_drop,0.6716000179123192,0.6340526475173567,0.7090574490117509
FactStream_f03_fresh,600,M8_bimodal_split,0.5492700729927007,0.532871972318339,0.567193675889328
FactStream_f03_fresh,600,M9_selector,0.39219022882987775,0.35424848963606625,0.42953289356391516
