benchmark,n,signal,auroc,auroc_low,auroc_high
Fresh_TruthfulQA_f1,300,G0_cling,0.6762079831932774,0.5825379000561483,0.7702133632790568
Fresh_TruthfulQA_f1,300,G1_contradicted,0.18277310924369747,0.13432835820895522,0.24363636363636362
Fresh_TruthfulQA_f1,300,M4_cross_item,0.3552389705882353,0.2511607142857143,0.46966971877043817
Fresh_TruthfulQA_f1,300,M6_agreement_drop,0.3564206932773109,0.26096445645395966,0.44923636363636366
Fresh_TruthfulQA_f1,300,M8_bimodal_split,0.39653361344537813,0.3161231884057971,0.4710522967298639
Fresh_TruthfulQA_f1,300,M9_selector,0.6047794117647058,0.5272327735049442,0.6892313227005636
Fresh_TreeCut_f07,300,G0_cling,0.5055023923444976,0.47870879120879123,0.5343125734430082
Fresh_TreeCut_f07,300,G1_contradicted,0.6435406698564593,0.6095806022374451,0.678391959798995
Fresh_TreeCut_f07,300,M4_cross_item,0.42976076555023923,0.3630861244019139,0.49594608551952074
Fresh_TreeCut_f07,300,M6_agreement_drop,0.5052631578947369,0.5,0.5133689839572193
Fresh_TreeCut_f07,300,M8_bimodal_split,0.5052631578947369,0.5,0.5135135135135135
Fresh_TreeCut_f07,300,M9_selector,0.5055023923444976,0.47870879120879123,0.5343125734430082
Fresh_TruthfulQA_f07,300,G0_cling,0.5166816525483886,0.4900797510212021,0.5456053067993366
Fresh_TruthfulQA_f07,300,G1_contradicted,0.6100042591453315,0.5653491695825735,0.6538957450727574
Fresh_TruthfulQA_f07,300,M4_cross_item,0.4265770668685817,0.36237714285714284,0.49310733908948196
Fresh_TruthfulQA_f07,300,M6_agreement_drop,0.521674317353651,0.49381903642773206,0.5495243954379821
Fresh_TruthfulQA_f07,300,M8_bimodal_split,0.49207325729970186,0.47413793103448276,0.5073678393811015
Fresh_TruthfulQA_f07,300,M9_selector,0.5131796886091524,0.4899547255234861,0.5385290179602013
Fresh_HotpotQA_f07,300,G0_cling,0.5200956937799043,0.5015412638363458,0.5424908424908425
Fresh_HotpotQA_f07,300,G1_contradicted,0.6389952153110048,0.603448275862069,0.6759776536312849
Fresh_HotpotQA_f07,300,M4_cross_item,0.42655502392344496,0.36160714285714285,0.49403414450103755
Fresh_HotpotQA_f07,300,M6_agreement_drop,0.485933014354067,0.46002723205602025,0.5089048252279635
Fresh_HotpotQA_f07,300,M8_bimodal_split,0.4954545454545455,0.48514851485148514,0.5
Fresh_HotpotQA_f07,300,M9_selector,0.5155502392344498,0.4992134992134992,0.535645933014354
