benchmark,n,signal,auroc,auroc_low,auroc_high
TreeCut_f07,300,G0_cling,0.4937799043062201,0.4684981684981685,0.5206815511163337
TreeCut_f07,300,G1_contradicted,0.6435406698564593,0.6095806022374451,0.678391959798995
TreeCut_f07,300,M4_cross_item,0.4548086124401914,0.3897569444444444,0.5190217391304348
TreeCut_f07,300,M6_agreement_drop,0.5078947368421053,0.5,0.517948717948718
TreeCut_f07,300,M8_bimodal_split,0.5052631578947369,0.5,0.5135135135135135
TreeCut_f07,300,M9_selector,0.4937799043062201,0.4684981684981685,0.5206815511163337
