overlap,gate,n,auroc,auroc_low,auroc_high,silent_on_wrong
0,G0_cling,240,0.7763157894736842,0.7212012550425818,0.8272005772005772,0.347
0,G1_contradicted,240,0.5915789473684211,0.5167015764524309,0.667962356792144,0.437
0,G2_contradicted_graded,240,0.5480526315789473,0.4585492227979275,0.6373229847494554,0.437
0,G3_contradicted_and_cling,240,0.6342105263157894,0.5777777777777777,0.686341636170464,0.632
0,G4_either,240,0.7336842105263158,0.6612200435729847,0.803921568627451,0.153
0,G5_cling_after_any_contradiction,240,0.7763157894736842,0.7212012550425818,0.8272005772005772,0.347
0,G6_adaptive_d2,240,0.7552631578947369,0.6994736842105264,0.8068376068376069,0.389
0,G6_adaptive_d3,240,0.6731578947368421,0.6051373954599761,0.7348894348894349,0.474
0,G7_blend,240,0.7822105263157895,0.714701927386822,0.8426921545201115,0.274
0,G8_adaptive,240,0.5957894736842105,0.5205128205128206,0.6694605123362058,0.468
0,G9_blend,240,0.6974736842105264,0.6222222222222222,0.7684894666069028,0.305
0,M5_soft_blend,240,0.6342105263157894,0.5777777777777777,0.686341636170464,0.632
0,M3_velocity,240,0.3968421052631579,0.3184045584045584,0.4782027994443851,0.089
0,M4_cross_item,240,0.49705263157894736,0.4275764372565223,0.5710720486111112,0.005
0,M6_agreement_drop,240,0.48489473684210527,0.3981196581196581,0.5692039442039442,0.505
0,M7_velocity_selector,240,0.7210526315789474,0.6640752864157119,0.7737100737100737,0.458
0,M8_bimodal_split,240,0.28526315789473683,0.2140720162410514,0.3589460919413516,0.789
1,G0_cling,240,0.5152450090744102,0.45223584437672737,0.576996828674681,0.338
1,G1_contradicted,240,0.7475499092558984,0.6978293574038255,0.7961887477313975,0.421
1,G2_contradicted_graded,240,0.7430852994555354,0.6917217591261857,0.7938519924098671,0.421
1,G3_contradicted_and_cling,240,0.6823956442831216,0.6383666274970623,0.7277777777777777,0.593
1,G4_either,240,0.5803992740471869,0.5243928648183968,0.6355290002914602,0.166
1,G5_cling_after_any_contradiction,240,0.5170598911070781,0.45588235294117646,0.5798409628196862,0.345
1,G6_adaptive_d2,240,0.5176043557168784,0.45588235294117646,0.5826326363568718,0.407
1,G6_adaptive_d3,240,0.6270417422867514,0.5660522273425499,0.6866699458927693,0.483
1,G7_blend,240,0.5821778584392014,0.5142314990512334,0.653173472617917,0.248
1,G8_adaptive,240,0.7475499092558984,0.6978293574038255,0.7961887477313975,0.421
1,G9_blend,240,0.6884936479128857,0.6265699760765551,0.7518165784832451,0.331
1,M5_soft_blend,240,0.6823956442831216,0.6383666274970623,0.7277777777777777,0.593
1,M3_velocity,240,0.4980399274047187,0.4299054989210507,0.5699504517633343,0.159
1,M4_cross_item,240,0.41753176043557166,0.35575793184488835,0.4799259259259259,0.021
1,M6_agreement_drop,240,0.5152813067150636,0.4424137443438914,0.5840871856969869,0.517
1,M7_velocity_selector,240,0.6199637023593466,0.5603467193328945,0.6820561988347223,0.476
1,M8_bimodal_split,240,0.47731397459165154,0.42392005157962603,0.528842504743833,0.814
2,G0_cling,240,0.3635289060820976,0.3020872865275142,0.42777777777777776,0.535
2,G1_contradicted,240,0.7458628841607565,0.6913241683880619,0.7981670929241261,0.444
2,G2_contradicted_graded,240,0.7453255963894262,0.6900738790139712,0.7987036113683311,0.444
2,G3_contradicted_and_cling,240,0.6373307543520309,0.5907928388746803,0.686570291221454,0.697
2,G4_either,240,0.4720610358908231,0.41490545050055616,0.5271739130434783,0.283
2,G5_cling_after_any_contradiction,240,0.35697399527186763,0.296596799639396,0.4215686274509804,0.556
2,G6_adaptive_d2,240,0.3580485708145283,0.29581447963800905,0.42333333333333334,0.596
2,G6_adaptive_d3,240,0.6537717601547389,0.5944444444444444,0.7111377076879752,0.515
2,G7_blend,240,0.45307686797048496,0.375,0.5342041679250982,0.384
2,G8_adaptive,240,0.7458628841607565,0.6913241683880619,0.7981670929241261,0.444
2,G9_blend,240,0.6706784153592664,0.5983537946428571,0.7401982060185185,0.444
2,M5_soft_blend,240,0.6373307543520309,0.5907928388746803,0.686570291221454,0.697
2,M3_velocity,240,0.4326241134751773,0.36137632197414804,0.5024682395644283,0.323
2,M4_cross_item,240,0.3388136686009026,0.2789046653144016,0.39979093071876576,0.081
2,M6_agreement_drop,240,0.5763306827136614,0.5127501958828976,0.6437553894797355,0.525
2,M7_velocity_selector,240,0.6157317859445519,0.5521591810251604,0.6779497098646035,0.485
2,M8_bimodal_split,240,0.579518590156888,0.5220588235294118,0.6377622377622377,0.657
